occupationUri,occupationLabel,label,skills_essential,skills_optional,skills_unknown,n_total
http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c,développeur d’interface utilisateur/développeuse d’interface utilisatrice,AI/ML,[],"[""ML (programmation informatique)"", ""élaborer un modèle d’interaction""]",[],2
http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c,développeur d’interface utilisateur/développeuse d’interface utilisatrice,Data,"[""analyser les spécifications du logiciel"", ""utiliser des bibliothèques logicielles""]","[""NoSQL""]",[],3
http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c,développeur d’interface utilisateur/développeuse d’interface utilisatrice,DevOps,[],"[""Ansible""]",[],1
http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c,développeur d’interface utilisateur/développeuse d’interface utilisatrice,QA/Test,[],"[""utiliser la programmation fonctionnelle""]",[],1
http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c,développeur d’interface utilisateur/développeuse d’interface utilisatrice,Software,"[""concevoir une infographie"", ""concevoir une interface utilisateur"", ""développer un prototype de logiciel"", ""environnement de développement intégré"", ""interpréter des textes techniques"", ""langages des feuilles de style"", ""logiciel d’édition graphique"", ""programmation informatique"", ""programmation web"", ""réaliser des ébauches"", ""schéma de conception d’interface utilisateur"", ""standards du World Wide Web Consortium"", ""utiliser des méthodes de conception centrée sur l’utilisateur"", ""utiliser des patrons de conception"", ""utiliser une interface spécifique à une application""]","[""ABAP"", ""AJAX"", ""APL"", ""ASP.NET"", ""Adobe Illustrator"", ""Adobe Photoshop"", ""Ajax Framework"", ""Apache Maven"", ""Assembly (programmation informatique)"", ""C#"", ""C++"", ""COBOL"", ""CSS"", ""CoffeeScript"", ""Common Lisp"", ""Drupal"", ""Eclipse (environnement de développement intégré)"", ""Erlang"", ""GIMP (logiciel d’édition graphique)"", ""Groovy"", ""Haskell"", ""Interaction homme-machine"", ""JSSS"", ""Java (programmation informatique)"", ""JavaScript"", ""JavaScript Framework"", ""Jenkins (outils de gestion de configuration logicielle)"", ""KDevelop"", ""LESS"", ""Lisp"", ""MATLAB"", ""Microsoft Visio"", ""Microsoft Visual C++"", ""Objective-C"", ""OpenEdge Advanced Business Language"", ""PHP"", ""Pascal (programmation informatique)"", ""Perl"", ""Prolog (programmation informatique)"", ""Puppet (outils de gestion de configuration logicielle)"", ""Python (programmation informatique)"", ""R"", ""Ruby (programmation informatique)"", ""SAP R3"", ""SAS language"", ""STAF"", ""Salt (outils de gestion de configuration logicielle)"", ""Sass"", ""Scala"", ""Scratch (programmation informatique)"", ""SketchBook Pro"", ""Smalltalk (programmation informatique)"", ""Swift (programmation informatique)"", ""Synfig"", ""TypeScript"", ""VBScript"", ""Vagrant"", ""Visual Basic"", ""WordPress"", ""Xcode"", ""conception de l’interaction du logiciel"", ""créer un organigramme de programmation"", ""déboguer un logiciel"", ""gestion de projets TIC"", ""lecteur d’écran"", ""outils de débogage TIC"", ""outils de gestion de configuration logicielle"", ""réalité augmentée"", ""utiliser des langages de balisage"", ""utiliser des langages de requête"", ""utiliser des outils de génie logiciel assisté par ordinateur"", ""utiliser la programmation automatique"", ""utiliser la programmation concurrente"", ""utiliser la programmation de scripts"", ""utiliser la programmation logique"", ""utiliser la programmation orientée objet""]",[],91
http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,développeur web/développeuse web,AI/ML,"[""Joomla""]","[""ML (programmation informatique)""]",[],2
http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,développeur web/développeuse web,Data,"[""analyser les spécifications du logiciel"", ""utiliser des bibliothèques logicielles""]","[""SPARK""]",[],3
http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,développeur web/développeuse web,DevOps,[],"[""Ansible""]",[],1
http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,développeur web/développeuse web,QA/Test,[],"[""effectuer un contrôle de la qualité du contenu"", ""utiliser la programmation fonctionnelle""]",[],2
http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,développeur web/développeuse web,Security,[],"[""législation sur la sécurité des TIC"", ""menaces de sécurité des applications web""]",[],2
